timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,magX,magY,magZ
1763129427139,-1.9561325,6.926025,6.79442,0.031154104,-0.06444623,-0.088269964,0.4019889,0.0056711603,-0.13192251,-2.8312502,-4.18125,-32.325
1763129427139,-1.9561325,6.926025,6.79442,0.17043127,-0.22036947,0.007788526,0.4019889,0.0056711603,-0.13192251,-2.8312502,-4.18125,-32.325
1763129427140,-1.9561325,6.926025,6.79442,0.17043127,-0.22036947,0.007788526,0.40325627,0.0034039756,-0.13312098,-2.8312502,-4.18125,-32.325
1763129427140,-1.4769697,6.9170523,6.4480586,0.17043127,-0.22036947,0.007788526,0.40325627,0.0034039756,-0.13312098,-2.8312502,-4.18125,-32.325
1763129427158,-1.4769697,6.9170523,6.4480586,0.17043127,-0.22036947,0.007788526,0.40325627,0.0034039756,-0.13312098,-1.0875001,0.22500001,-34.65
1763129427160,-1.4769697,6.9170523,6.4480586,0.17043127,-0.22036947,0.007788526,0.4022536,0.0025071169,-0.13295442,-1.0875001,0.22500001,-34.65
1763129427161,-1.4769697,6.9170523,6.4480586,-0.09422589,-0.08261946,0.06963859,0.4022536,0.0025071169,-0.13295442,-1.0875001,0.22500001,-34.65
1763129427161,-1.0947163,7.0169525,6.533602,-0.09422589,-0.08261946,0.06963859,0.4022536,0.0025071169,-0.13295442,-1.0875001,0.22500001,-34.65
1763129427178,-1.0947163,7.0169525,6.533602,-0.09422589,-0.08261946,0.06963859,0.4022536,0.0025071169,-0.13295442,-3.8625002,-3.9375002,-33.600002
1763129427182,-1.0947163,7.0169525,6.533602,-0.24740024,0.038179047,0.12599087,0.4022536,0.0025071169,-0.13295442,-3.8625002,-3.9375002,-33.600002
1763129427183,-1.0947163,7.0169525,6.533602,-0.24740024,0.038179047,0.12599087,0.39996544,0.0026830786,-0.13160598,-3.8625002,-3.9375002,-33.600002
1763129427184,-0.91525465,7.175477,6.4977098,-0.24740024,0.038179047,0.12599087,0.39996544,0.0026830786,-0.13160598,-3.8625002,-3.9375002,-33.600002
1763129427199,-0.91525465,7.175477,6.4977098,-0.24740024,0.038179047,0.12599087,0.39996544,0.0026830786,-0.13160598,-3.9,-5.7562504,-36.91875
1763129427202,-0.66041905,7.3525457,6.634699,-0.24740024,0.038179047,0.12599087,0.39996544,0.0026830786,-0.13160598,-3.9,-5.7562504,-36.91875
1763129427203,-0.66041905,7.3525457,6.634699,-0.24740024,0.038179047,0.12599087,0.3989089,0.0019747436,-0.13082162,-3.9,-5.7562504,-36.91875
1763129427204,-0.66041905,7.3525457,6.634699,-0.108581215,-0.048411034,0.09376775,0.3989089,0.0019747436,-0.13082162,-3.9,-5.7562504,-36.91875
1763129427218,-0.66041905,7.3525457,6.634699,-0.108581215,-0.048411034,0.09376775,0.3989089,0.0019747436,-0.13082162,-2.11875,-2.90625,-33.975002
