timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,magX,magY,magZ
1763129261136,-3.0951161,8.456235,4.442275,-0.62827444,0.41844237,-0.2855793,0.31049523,-0.41469947,-0.82286996,18.54375,-31.050001,-27.0375
1763129261137,-3.0951161,8.456235,4.442275,-0.62827444,0.41844237,-0.2855793,0.31388876,-0.4073255,-0.8248113,18.54375,-31.050001,-27.0375
1763129261137,-2.8953154,8.249256,5.456832,-0.62827444,0.41844237,-0.2855793,0.31388876,-0.4073255,-0.8248113,18.54375,-31.050001,-27.0375
1763129261138,-2.8953154,8.249256,5.456832,-0.62827444,0.41844237,-0.2855793,0.31388876,-0.4073255,-0.8248113,14.062501,-32.71875,-25.2
1763129261158,-2.8953154,8.249256,5.456832,-0.62827444,0.41844237,-0.2855793,0.31871286,-0.40013856,-0.82641006,14.062501,-32.71875,-25.2
1763129261159,-2.8953154,8.249256,5.456832,-0.62827444,0.41844237,-0.2855793,0.31871286,-0.40013856,-0.82641006,8.90625,-33.693752,-20.400002
1763129261160,-2.8953154,8.249256,5.456832,-0.56428635,0.6366738,-0.3581195,0.31871286,-0.40013856,-0.82641006,8.90625,-33.693752,-20.400002
1763129261160,-3.1453655,8.075178,5.363512,-0.56428635,0.6366738,-0.3581195,0.31871286,-0.40013856,-0.82641006,8.90625,-33.693752,-20.400002
1763129261178,-3.1453655,8.075178,5.363512,-0.3639227,0.5250383,-0.34070984,0.31871286,-0.40013856,-0.82641006,8.90625,-33.693752,-20.400002
1763129261179,-3.1453655,8.075178,5.363512,-0.3639227,0.5250383,-0.34070984,0.32315478,-0.39489397,-0.82735735,8.90625,-33.693752,-20.400002
1763129261179,-3.4779677,8.068598,4.546363,-0.3639227,0.5250383,-0.34070984,0.32315478,-0.39489397,-0.82735735,8.90625,-33.693752,-20.400002
1763129261180,-3.4779677,8.068598,4.546363,-0.3639227,0.5250383,-0.34070984,0.32315478,-0.39489397,-0.82735735,18.54375,-30.900002,-28.743752
1763129261198,-3.4779677,8.068598,4.546363,-0.3639227,0.5250383,-0.34070984,0.32315478,-0.39489397,-0.82735735,17.79375,-30.2625,-28.087502
1763129261199,-3.4779677,8.068598,4.546363,-0.16936226,0.16096286,-0.28115052,0.32315478,-0.39489397,-0.82735735,17.79375,-30.2625,-28.087502
1763129261200,-3.9828532,7.795816,3.821936,-0.16936226,0.16096286,-0.28115052,0.32315478,-0.39489397,-0.82735735,17.79375,-30.2625,-28.087502
1763129261201,-3.9828532,7.795816,3.821936,-0.16936226,0.16096286,-0.28115052,0.325424,-0.39203125,-0.82810235,17.79375,-30.2625,-28.087502
1763129261218,-3.9828532,7.795816,3.821936,-0.16936226,0.16096286,-0.28115052,0.325424,-0.39203125,-0.82810235,16.987501,-32.381252,-28.368752
1763129261223,-3.9828532,7.795816,3.821936,-0.12415826,-0.19410229,-0.13897173,0.325424,-0.39203125,-0.82810235,16.987501,-32.381252,-28.368752
1763129261224,-4.188636,7.5792656,3.7459638,-0.12415826,-0.19410229,-0.13897173,0.325424,-0.39203125,-0.82810235,16.987501,-32.381252,-28.368752
1763129261225,-4.188636,7.5792656,3.7459638,-0.12415826,-0.19410229,-0.13897173,0.3249679,-0.39040387,-0.8290651,16.987501,-32.381252,-28.368752
1763129261237,-4.188636,7.5792656,3.7459638,-0.12415826,-0.19410229,-0.13897173,0.3249679,-0.39040387,-0.8290651,18.35625,-31.275002,-29.00625
1763129261240,-4.188636,7.5792656,3.7459638,-0.19440772,-0.33612835,0.05650499,0.3249679,-0.39040387,-0.8290651,18.35625,-31.275002,-29.00625
1763129261241,-4.188636,7.5792656,3.7459638,-0.19440772,-0.33612835,0.05650499,0.32253283,-0.3890078,-0.83020777,18.35625,-31.275002,-29.00625
1763129261242,-3.6005998,7.5786676,4.127021,-0.19440772,-0.33612835,0.05650499,0.32253283,-0.3890078,-0.83020777,18.35625,-31.275002,-29.00625
1763129261258,-3.6005998,7.5786676,4.127021,-0.19440772,-0.33612835,0.05650499,0.32253283,-0.3890078,-0.83020777,17.0625,-31.3875,-27.69375
1763129261265,-3.6005998,7.5786676,4.127021,-0.17852524,-0.41447175,0.17776164,0.32253283,-0.3890078,-0.83020777,17.0625,-31.3875,-27.69375
1763129261266,-3.6005998,7.5786676,4.127021,-0.17852524,-0.41447175,0.17776164,0.31836194,-0.38873506,-0.83153707,17.0625,-31.3875,-27.69375
1763129261268,-3.1357942,7.640881,4.3758745,-0.17852524,-0.41447175,0.17776164,0.31836194,-0.38873506,-0.83153707,17.0625,-31.3875,-27.69375
1763129261277,-3.1357942,7.640881,4.3758745,-0.17852524,-0.41447175,0.17776164,0.31836194,-0.38873506,-0.83153707,15.88125,-31.837502,-28.5375
1763129261282,-2.9796624,7.982456,4.551149,-0.17852524,-0.41447175,0.17776164,0.31836194,-0.38873506,-0.83153707,15.88125,-31.837502,-28.5375
1763129261283,-2.9796624,7.982456,4.551149,-0.01847866,-0.5222894,0.18142684,0.31836194,-0.38873506,-0.83153707,15.88125,-31.837502,-28.5375
1763129261284,-2.9796624,7.982456,4.551149,-0.01847866,-0.5222894,0.18142684,0.31321368,-0.39040506,-0.83274555,15.88125,-31.837502,-28.5375
1763129261298,-2.9796624,7.982456,4.551149,-0.01847866,-0.5222894,0.18142684,0.31321368,-0.39040506,-0.83274555,15.88125,-31.837502,-28.837502
1763129261304,-2.71047,7.978867,3.8350966,-0.01847866,-0.5222894,0.18142684,0.31321368,-0.39040506,-0.83274555,15.88125,-31.837502,-28.837502
1763129261305,-2.71047,7.978867,3.8350966,-0.01847866,-0.5222894,0.18142684,0.3068531,-0.3942365,-0.83397555,15.88125,-31.837502,-28.837502
1763129261305,-2.71047,7.978867,3.8350966,0.18341215,-0.73212147,0.11988221,0.3068531,-0.3942365,-0.83397555,15.88125,-31.837502,-28.837502
1763129261318,-2.71047,7.978867,3.8350966,0.18341215,-0.73212147,0.11988221,0.3068531,-0.3942365,-0.83397555,13.9875,-31.1625,-28.968752
1763129261325,-2.71047,7.978867,3.8350966,0.18341215,-0.73212147,0.11988221,0.29469863,-0.399964,-0.83720237,13.9875,-31.1625,-28.968752
1763129261327,-2.71047,7.978867,3.8350966,0.23716825,-1.4866922,0.042302385,0.29469863,-0.399964,-0.83720237,13.9875,-31.1625,-28.968752
1763129261328,-2.4855444,8.015956,2.4837499,0.23716825,-1.4866922,0.042302385,0.29469863,-0.399964,-0.83720237,13.9875,-31.1625,-28.968752
