timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,magX,magY,magZ
1763129333536,7.509874,3.8620157,3.2476585,-0.4668534,1.1145228,0.16768238,0.03490036,-0.5173182,-0.33076173,-33.24375,2.9250002,-9.6
1763129333537,7.6366935,3.8410785,3.7100716,-0.4668534,1.1145228,0.16768238,0.03490036,-0.5173182,-0.33076173,-33.24375,2.9250002,-9.6
1763129333537,7.6366935,3.8410785,3.7100716,-0.4668534,1.1145228,0.16768238,0.034271833,-0.50675124,-0.3310581,-33.24375,2.9250002,-9.6
1763129333538,7.6366935,3.8410785,3.7100716,-0.4668534,1.1145228,0.16768238,0.034271833,-0.50675124,-0.3310581,-39.037502,-0.80625004,-7.89375
1763129333558,7.304091,3.6640096,4.4057846,-0.4668534,1.1145228,0.16768238,0.034271833,-0.50675124,-0.3310581,-39.037502,-0.80625004,-7.89375
1763129333559,7.304091,3.6640096,4.4057846,-0.51694435,1.2130247,0.18707734,0.034271833,-0.50675124,-0.3310581,-39.037502,-0.80625004,-7.89375
1763129333560,7.304091,3.6640096,4.4057846,-0.51694435,1.2130247,0.18707734,0.033413768,-0.49508917,-0.3313904,-39.037502,-0.80625004,-7.89375
1763129333560,7.304091,3.6640096,4.4057846,-0.51694435,1.2130247,0.18707734,0.033413768,-0.49508917,-0.3313904,-32.25,4.1062503,-11.587501
1763129333579,7.304091,3.6640096,4.4057846,-0.51694435,1.2130247,0.18707734,0.03230175,-0.48462477,-0.33152315,-32.25,4.1062503,-11.587501
1763129333579,7.304091,3.6640096,4.4057846,-0.4650208,1.068708,0.20051636,0.03230175,-0.48462477,-0.33152315,-32.25,4.1062503,-11.587501
1763129333580,7.304091,3.6640096,4.4057846,-0.4650208,1.068708,0.20051636,0.03230175,-0.48462477,-0.33152315,-33.61875,2.1937501,-9.825001
1763129333581,7.1449685,3.5090744,5.029713,-0.4650208,1.068708,0.20051636,0.03230175,-0.48462477,-0.33152315,-33.61875,2.1937501,-9.825001
1763129333599,7.1449685,3.5090744,5.029713,-0.3245219,0.9335541,0.1875355,0.03230175,-0.48462477,-0.33152315,-33.61875,2.1937501,-9.825001
1763129333600,7.1449685,3.5090744,5.029713,-0.3245219,0.9335541,0.1875355,0.031871535,-0.47563368,-0.33120567,-33.61875,2.1937501,-9.825001
1763129333601,7.1449685,3.5090744,5.029713,-0.3245219,0.9335541,0.1875355,0.031871535,-0.47563368,-0.33120567,-35.325,0.975,-10.762501
1763129333602,6.9822564,3.5060835,5.1936216,-0.3245219,0.9335541,0.1875355,0.031871535,-0.47563368,-0.33120567,-35.325,0.975,-10.762501
1763129333617,6.9822564,3.5060835,5.1936216,-0.3245219,0.9335541,0.1875355,0.031871535,-0.47563368,-0.33120567,-31.331251,4.93125,-13.968751
1763129333622,6.9822564,3.5060835,5.1936216,-0.2234238,1.047633,0.20143266,0.031871535,-0.47563368,-0.33120567,-31.331251,4.93125,-13.968751
1763129333623,6.9822564,3.5060835,5.1936216,-0.2234238,1.047633,0.20143266,0.03273644,-0.46595556,-0.33003387,-31.331251,4.93125,-13.968751
1763129333624,7.033104,3.659224,5.1206403,-0.2234238,1.047633,0.20143266,0.03273644,-0.46595556,-0.33003387,-31.331251,4.93125,-13.968751
1763129333638,7.033104,3.659224,5.1206403,-0.2234238,1.047633,0.20143266,0.03273644,-0.46595556,-0.33003387,-33.3375,2.3812501,-13.725
1763129333641,7.033104,3.659224,5.1206403,-0.13454297,1.2243258,0.1547015,0.03273644,-0.46595556,-0.33003387,-33.3375,2.3812501,-13.725
