timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,magX,magY,magZ
1763129344738,1.8364913,3.5336008,8.583653,-0.46899143,0.08643737,-0.07467822,0.14413193,-0.15333416,-0.34245792,-16.725,4.9875,-26.925001
1763129344746,1.8364913,3.5336008,8.583653,-0.37980518,0.2490801,-0.098654665,0.14413193,-0.15333416,-0.34245792,-16.725,4.9875,-26.925001
1763129344746,1.5421742,3.5874393,8.991031,-0.37980518,0.2490801,-0.098654665,0.14413193,-0.15333416,-0.34245792,-16.725,4.9875,-26.925001
1763129344758,1.5421742,3.5874393,8.991031,-0.37980518,0.2490801,-0.098654665,0.14175884,-0.14964512,-0.34276602,-16.725,4.9875,-26.925001
1763129344759,1.5421742,3.5874393,8.991031,-0.37980518,0.2490801,-0.098654665,0.14175884,-0.14964512,-0.34276602,-18.35625,3.825,-24.975
1763129344767,1.5421742,3.5874393,8.991031,-0.20311254,0.17211115,-0.103236146,0.14175884,-0.14964512,-0.34276602,-18.35625,3.825,-24.975
1763129344768,1.18684,3.635894,8.866006,-0.20311254,0.17211115,-0.103236146,0.14175884,-0.14964512,-0.34276602,-18.35625,3.825,-24.975
1763129344779,1.18684,3.635894,8.866006,-0.20311254,0.17211115,-0.103236146,0.14078307,-0.14690463,-0.3438975,-18.35625,3.825,-24.975
1763129344780,1.18684,3.635894,8.866006,-0.20311254,0.17211115,-0.103236146,0.14078307,-0.14690463,-0.3438975,-15.431251,6.43125,-26.175001
1763129344788,1.18684,3.635894,8.866006,-0.06704241,0.11255184,-0.06811142,0.14078307,-0.14690463,-0.3438975,-15.431251,6.43125,-26.175001
1763129344789,1.247857,3.8536408,9.158528,-0.06704241,0.11255184,-0.06811142,0.14078307,-0.14690463,-0.3438975,-15.431251,6.43125,-26.175001
1763129344797,1.247857,3.8536408,9.158528,-0.06704241,0.11255184,-0.06811142,0.14113438,-0.1449387,-0.34508568,-15.431251,6.43125,-26.175001
1763129344797,1.247857,3.8536408,9.158528,-0.06704241,0.11255184,-0.06811142,0.14113438,-0.1449387,-0.34508568,-18.806252,4.5,-27.862501
1763129344808,1.247857,3.8536408,9.158528,-0.00962112,0.077121675,-0.020005822,0.14113438,-0.1449387,-0.34508568,-18.806252,4.5,-27.862501
1763129344809,1.2711871,3.754937,8.995817,-0.00962112,0.077121675,-0.020005822,0.14113438,-0.1449387,-0.34508568,-18.806252,4.5,-27.862501
1763129344819,1.2711871,3.754937,8.995817,-0.00962112,0.077121675,-0.020005822,0.14199777,-0.1436669,-0.34552172,-18.806252,4.5,-27.862501
1763129344820,1.2711871,3.754937,8.995817,-0.00962112,0.077121675,-0.020005822,0.14199777,-0.1436669,-0.34552172,-16.9125,6.0750003,-25.7625
1763129344830,1.2711871,3.754937,8.995817,-0.028863361,0.026267186,0.0108428495,0.14199777,-0.1436669,-0.34552172,-16.9125,6.0750003,-25.7625
1763129344831,1.3986049,3.6000016,8.919247,-0.028863361,0.026267186,0.0108428495,0.14199777,-0.1436669,-0.34552172,-16.9125,6.0750003,-25.7625
1763129344838,1.3986049,3.6000016,8.919247,-0.028863361,0.026267186,0.0108428495,0.14199777,-0.1436669,-0.34552172,-15.0375,6.5062504,-28.35
1763129344839,1.3986049,3.6000016,8.919247,-0.028863361,0.026267186,0.0108428495,0.14234488,-0.14294934,-0.34573188,-15.0375,6.5062504,-28.35
1763129344851,1.3986049,3.6000016,8.919247,-0.06536253,0.054825112,0.0044287695,0.14234488,-0.14294934,-0.34573188,-15.0375,6.5062504,-28.35
1763129344852,1.5092729,3.4851463,9.095717,-0.06536253,0.054825112,0.0044287695,0.14234488,-0.14294934,-0.34573188,-15.0375,6.5062504,-28.35
1763129344858,1.5092729,3.4851463,9.095717,-0.06536253,0.054825112,0.0044287695,0.14220573,-0.14197628,-0.34575745,-15.0375,6.5062504,-28.35
1763129344859,1.5092729,3.4851463,9.095717,-0.06536253,0.054825112,0.0044287695,0.14220573,-0.14197628,-0.34575745,-15.4125,6.4125004,-27.675001
1763129344872,1.5092729,3.4851463,9.095717,-0.03940078,0.101250835,0.007177661,0.14220573,-0.14197628,-0.34575745,-15.4125,6.4125004,-27.675001
1763129344873,1.5026926,3.4540396,9.199206,-0.03940078,0.101250835,0.007177661,0.14220573,-0.14197628,-0.34575745,-15.4125,6.4125004,-27.675001
1763129344878,1.5026926,3.4540396,9.199206,-0.03940078,0.101250835,0.007177661,0.14213747,-0.14073825,-0.3456781,-15.4125,6.4125004,-27.675001
1763129344878,1.5026926,3.4540396,9.199206,-0.03940078,0.101250835,0.007177661,0.14213747,-0.14073825,-0.3456781,-16.06875,6.58125,-27.91875
1763129344893,1.5026926,3.4540396,9.199206,0.030695954,0.034819294,-0.002290743,0.14213747,-0.14073825,-0.3456781,-16.06875,6.58125,-27.91875
1763129344894,1.544567,3.4372897,9.1770735,0.030695954,0.034819294,-0.002290743,0.14213747,-0.14073825,-0.3456781,-16.06875,6.58125,-27.91875
1763129344898,1.544567,3.4372897,9.1770735,0.030695954,0.034819294,-0.002290743,0.14239445,-0.1403383,-0.34582037,-16.06875,6.58125,-27.91875
1763129344900,1.544567,3.4372897,9.1770735,0.030695954,0.034819294,-0.002290743,0.14239445,-0.1403383,-0.34582037,-15.637501,6.3562503,-28.781252
1763129344914,1.544567,3.4372897,9.1770735,0.057574004,-0.027183482,-0.017562363,0.14239445,-0.1403383,-0.34582037,-15.637501,6.3562503,-28.781252
1763129344915,1.5427724,3.4869409,8.99821,0.057574004,-0.027183482,-0.017562363,0.14239445,-0.1403383,-0.34582037,-15.637501,6.3562503,-28.781252
1763129344919,1.5427724,3.4869409,8.99821,0.057574004,-0.027183482,-0.017562363,0.14264861,-0.14067362,-0.34617317,-15.637501,6.3562503,-28.781252
1763129344920,1.5427724,3.4869409,8.99821,0.057574004,-0.027183482,-0.017562363,0.14264861,-0.14067362,-0.34617317,-15.76875,4.875,-29.79375
1763129344937,1.5427724,3.4869409,8.99821,0.011148282,-0.020616686,0.00763581,0.14264861,-0.14067362,-0.34617317,-15.76875,4.875,-29.79375
1763129344938,1.4691931,3.4869409,8.810373,0.011148282,-0.020616686,0.00763581,0.14264861,-0.14067362,-0.34617317,-15.76875,4.875,-29.79375
1763129344940,1.4691931,3.4869409,8.810373,0.011148282,-0.020616686,0.00763581,0.14265275,-0.1408713,-0.34604728,-15.76875,4.875,-29.79375
1763129344941,1.4691931,3.4869409,8.810373,0.011148282,-0.020616686,0.00763581,0.14265275,-0.1408713,-0.34604728,-15.187501,5.025,-27.843752
1763129344956,1.4691931,3.4869409,8.810373,-0.020922119,0.030390523,0.01970039,0.14265275,-0.1408713,-0.34604728,-15.187501,5.025,-27.843752
1763129344956,1.5038891,3.4325042,8.971889,-0.020922119,0.030390523,0.01970039,0.14265275,-0.1408713,-0.34604728,-15.187501,5.025,-27.843752
1763129344957,1.5038891,3.4325042,8.971889,-0.020922119,0.030390523,0.01970039,0.14266178,-0.1404604,-0.34576505,-15.187501,5.025,-27.843752
1763129344958,1.5038891,3.4325042,8.971889,-0.020922119,0.030390523,0.01970039,0.14266178,-0.1404604,-0.34576505,-14.718751,4.78125,-30.075
1763129344978,1.5038891,3.4325042,8.971889,-0.015729768,0.049480047,0.026725333,0.14266178,-0.1404604,-0.34576505,-14.718751,4.78125,-30.075
1763129344979,1.5038891,3.4325042,8.971889,-0.015729768,0.049480047,0.026725333,0.14257984,-0.13988085,-0.34549055,-14.718751,4.78125,-30.075
1763129344982,1.5038891,3.4325042,8.971889,-0.015729768,0.049480047,0.026725333,0.14257984,-0.13988085,-0.34549055,-15.562501,4.8,-25.781252
1763129344983,1.570888,3.4917264,8.897711,-0.015729768,0.049480047,0.026725333,0.14257984,-0.13988085,-0.34549055,-15.562501,4.8,-25.781252
1763129344998,1.6833507,3.3702908,8.904291,-0.015729768,0.049480047,0.026725333,0.14257984,-0.13988085,-0.34549055,-15.562501,4.8,-25.781252
1763129344999,1.6833507,3.3702908,8.904291,-0.015729768,0.049480047,0.026725333,0.14282297,-0.13965057,-0.34535497,-15.562501,4.8,-25.781252
1763129344999,1.6833507,3.3702908,8.904291,0.0070249448,0.029626941,-0.016798781,0.14282297,-0.13965057,-0.34535497,-15.562501,4.8,-25.781252
