timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,magX,magY,magZ
1763129368803,-0.7304091,7.387242,6.227321,-0.09392046,-0.21273366,0.026267186,0.40745962,8.110583E-4,-0.055528775,-3.3187501,-3.3375,-33.600002
1763129368803,-0.7304091,7.387242,6.227321,-0.077121675,-0.27091852,0.02687805,0.40745962,8.110583E-4,-0.055528775,-3.3187501,-3.3375,-33.600002
1763129368803,-0.32183465,7.3974113,6.483353,-0.077121675,-0.27091852,0.02687805,0.40745962,8.110583E-4,-0.055528775,-3.3187501,-3.3375,-33.600002
1763129368817,-0.32183465,7.3974113,6.483353,-0.077121675,-0.27091852,0.02687805,0.40745962,8.110583E-4,-0.055528775,-3.5625002,-2.0812502,-31.575
1763129368823,-0.32183465,7.3974113,6.483353,-0.0754418,-0.26160285,-0.015424335,0.40745962,8.110583E-4,-0.055528775,-3.5625002,-2.0812502,-31.575
1763129368824,-0.32183465,7.3974113,6.483353,-0.0754418,-0.26160285,-0.015424335,0.40661716,-0.0015527676,-0.056657348,-3.5625002,-2.0812502,-31.575
1763129368824,-0.31764722,7.2819576,6.4558353,-0.0754418,-0.26160285,-0.015424335,0.40661716,-0.0015527676,-0.056657348,-3.5625002,-2.0812502,-31.575
1763129368839,-0.31764722,7.2819576,6.4558353,-0.0754418,-0.26160285,-0.015424335,0.40661716,-0.0015527676,-0.056657348,-4.8,-6.0937505,-33.318752
1763129368844,-0.31764722,7.2819576,6.4558353,-0.06383537,-0.26343542,-0.0129808765,0.40661716,-0.0015527676,-0.056657348,-4.8,-6.0937505,-33.318752
1763129368844,-0.31764722,7.2819576,6.4558353,-0.06383537,-0.26343542,-0.0129808765,0.405871,-0.0039462205,-0.05778346,-4.8,-6.0937505,-33.318752
1763129368845,-0.26141587,7.315457,6.2751775,-0.06383537,-0.26343542,-0.0129808765,0.405871,-0.0039462205,-0.05778346,-4.8,-6.0937505,-33.318752
1763129368858,-0.26141587,7.315457,6.2751775,-0.06383537,-0.26343542,-0.0129808765,0.405871,-0.0039462205,-0.05778346,-5.86875,-2.79375,-31.181252
1763129368866,-0.19740787,7.350751,5.9090757,-0.06383537,-0.26343542,-0.0129808765,0.405871,-0.0039462205,-0.05778346,-5.86875,-2.79375,-31.181252
1763129368867,-0.19740787,7.350751,5.9090757,-0.098654665,-0.31276277,-0.017715078,0.405871,-0.0039462205,-0.05778346,-5.86875,-2.79375,-31.181252
1763129368878,-0.19740787,7.350751,5.9090757,-0.098654665,-0.31276277,-0.017715078,0.405871,-0.0039462205,-0.05778346,-1.2750001,-2.7,-33.018753
1763129368879,-0.19740787,7.350751,5.9090757,-0.098654665,-0.31276277,-0.017715078,0.4048005,-0.0068145082,-0.05924789,-1.2750001,-2.7,-33.018753
1763129368886,-0.19740787,7.350751,5.9090757,-0.18188499,-0.39095345,-0.04886918,0.4048005,-0.0068145082,-0.05924789,-1.2750001,-2.7,-33.018753
1763129368887,-0.09272188,7.3812594,5.89771,-0.18188499,-0.39095345,-0.04886918,0.4048005,-0.0068145082,-0.05924789,-1.2750001,-2.7,-33.018753
1763129368897,-0.09272188,7.3812594,5.89771,-0.18188499,-0.39095345,-0.04886918,0.4029572,-0.010247789,-0.06133157,-1.2750001,-2.7,-33.018753
1763129368898,-0.09272188,7.3812594,5.89771,-0.18188499,-0.39095345,-0.04886918,0.4029572,-0.010247789,-0.06133157,-2.3812501,-1.7062501,-37.3875
1763129368907,-0.09272188,7.3812594,5.89771,-0.24709481,-0.44272426,-0.091477,0.4029572,-0.010247789,-0.06133157,-2.3812501,-1.7062501,-37.3875
1763129368908,-0.046660043,7.222735,6.168697,-0.24709481,-0.44272426,-0.091477,0.4029572,-0.010247789,-0.06133157,-2.3812501,-1.7062501,-37.3875
1763129368917,-0.046660043,7.222735,6.168697,-0.24709481,-0.44272426,-0.091477,0.40046817,-0.013962732,-0.064022474,-2.3812501,-1.7062501,-37.3875
1763129368918,-0.046660043,7.222735,6.168697,-0.24709481,-0.44272426,-0.091477,0.40046817,-0.013962732,-0.064022474,-5.26875,-4.6125,-34.912502
1763129368928,-0.046660043,7.222735,6.168697,-0.2922988,-0.4243983,-0.12812889,0.40046817,-0.013962732,-0.064022474,-5.26875,-4.6125,-34.912502
1763129368929,-0.084346995,7.16112,6.4797635,-0.2922988,-0.4243983,-0.12812889,0.40046817,-0.013962732,-0.064022474,-5.26875,-4.6125,-34.912502
1763129368940,-0.084346995,7.16112,6.4797635,-0.2922988,-0.4243983,-0.12812889,0.40046817,-0.013962732,-0.064022474,-2.8125,-2.2875001,-36.46875
1763129368949,-0.084346995,7.16112,6.4797635,-0.31902415,-0.3990474,-0.16187917,0.40046817,-0.013962732,-0.064022474,-2.8125,-2.2875001,-36.46875
1763129368950,-0.2536392,7.025327,6.693323,-0.31902415,-0.3990474,-0.16187917,0.40046817,-0.013962732,-0.064022474,-2.8125,-2.2875001,-36.46875
1763129368958,-0.2536392,7.025327,6.693323,-0.31902415,-0.3990474,-0.16187917,0.39806843,-0.01742846,-0.066566415,-2.8125,-2.2875001,-36.46875
1763129368959,-0.2536392,7.025327,6.693323,-0.31902415,-0.3990474,-0.16187917,0.39806843,-0.01742846,-0.066566415,-3.7500002,-2.9625,-35.49375
1763129368960,-0.2536392,7.025327,6.693323,-0.31902415,-0.3990474,-0.16187917,0.3950909,-0.020433605,-0.06956561,-3.7500002,-2.9625,-35.49375
1763129368970,-0.2536392,7.025327,6.693323,-0.28939718,-0.40973756,-0.15714496,0.3950909,-0.020433605,-0.06956561,-3.7500002,-2.9625,-35.49375
