timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,magX,magY,magZ
1763129274298,-1.8460627,8.464012,4.7808595,-0.30573782,-0.17623448,-0.06291907,0.37598532,-0.31176326,-0.69389665,5.9437504,-31.85625,-28.687502
1763129274299,-1.8460627,8.464012,4.7808595,-0.30573782,-0.17623448,-0.06291907,0.37257463,-0.31052685,-0.69518,5.9437504,-31.85625,-28.687502
1763129274299,-1.8460627,8.464012,4.7808595,-0.3440696,-0.240528,0.050243627,0.37257463,-0.31052685,-0.69518,5.9437504,-31.85625,-28.687502
1763129274300,-1.8460627,8.464012,4.7808595,-0.3440696,-0.240528,0.050243627,0.37257463,-0.31052685,-0.69518,3.73125,-33.318752,-27.300001
1763129274317,-1.8460627,8.464012,4.7808595,-0.3440696,-0.240528,0.050243627,0.37257463,-0.31052685,-0.69518,4.425,-32.175003,-26.175001
1763129274318,-1.8460627,8.464012,4.7808595,-0.29153523,-0.3338376,0.039858926,0.37257463,-0.31052685,-0.69518,4.425,-32.175003,-26.175001
1763129274319,-1.8460627,8.464012,4.7808595,-0.29153523,-0.3338376,0.039858926,0.36870372,-0.31023726,-0.696756,4.425,-32.175003,-26.175001
1763129274319,-1.3752748,8.513663,5.3850474,-0.29153523,-0.3338376,0.039858926,0.36870372,-0.31023726,-0.696756,4.425,-32.175003,-26.175001
1763129274339,-1.3752748,8.513663,5.3850474,-0.29153523,-0.3338376,0.039858926,0.36870372,-0.31023726,-0.696756,4.70625,-32.1375,-28.218752
1763129274340,-1.3752748,8.513663,5.3850474,-0.29153523,-0.3338376,0.039858926,0.36548427,-0.31030795,-0.69832635,4.70625,-32.1375,-28.218752
1763129274341,-1.3848461,8.481958,6.009574,-0.29153523,-0.3338376,0.039858926,0.36548427,-0.31030795,-0.69832635,4.70625,-32.1375,-28.218752
1763129274342,-1.3848461,8.481958,6.009574,-0.2112065,-0.27229297,0.010384701,0.36548427,-0.31030795,-0.69832635,4.70625,-32.1375,-28.218752
1763129274357,-1.3848461,8.481958,6.009574,-0.2112065,-0.27229297,0.010384701,0.36548427,-0.31030795,-0.69832635,5.86875,-29.925001,-28.1625
1763129274361,-1.4991034,8.364112,5.8731833,-0.2112065,-0.27229297,0.010384701,0.36548427,-0.31030795,-0.69832635,5.86875,-29.925001,-28.1625
