timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,magX,magY,magZ
1763129309657,-2.2121646,6.0430737,4.991428,-0.47021317,-1.1546872,0.160352,0.28799838,-0.1583856,-0.76721203,10.59375,-18.618752,-30.243752
1763129309658,-2.2121646,6.0430737,4.991428,-0.47021317,-1.1546872,0.160352,0.28799838,-0.1583856,-0.76721203,5.86875,-21.7875,-28.66875
1763129309669,-2.2121646,6.0430737,4.991428,-0.8938479,-1.094517,-0.11209369,0.28799838,-0.1583856,-0.76721203,5.86875,-21.7875,-28.66875
1763129309670,-1.4243277,7.5786676,8.430512,-0.8938479,-1.094517,-0.11209369,0.28799838,-0.1583856,-0.76721203,5.86875,-21.7875,-28.66875
1763129309679,-1.4243277,7.5786676,8.430512,-0.8938479,-1.094517,-0.11209369,0.2748592,-0.15701585,-0.77137476,5.86875,-21.7875,-28.66875
1763129309680,-1.4243277,7.5786676,8.430512,-0.8938479,-1.094517,-0.11209369,0.2748592,-0.15701585,-0.77137476,5.64375,-19.087502,-27.0375
1763129309689,-1.4243277,7.5786676,8.430512,-1.051451,-0.570395,-0.48395762,0.2748592,-0.15701585,-0.77137476,5.64375,-19.087502,-27.0375
1763129309690,-1.038485,6.29432,9.630513,-1.051451,-0.570395,-0.48395762,0.2748592,-0.15701585,-0.77137476,5.64375,-19.087502,-27.0375
1763129309698,-1.038485,6.29432,9.630513,-1.051451,-0.570395,-0.48395762,0.2651211,-0.15064442,-0.77667797,5.64375,-19.087502,-27.0375
1763129309699,-1.038485,6.29432,9.630513,-1.051451,-0.570395,-0.48395762,0.2651211,-0.15064442,-0.77667797,6.01875,-19.66875,-28.29375
1763129309712,-1.038485,6.29432,9.630513,-0.7177661,-0.4413498,-0.5235111,0.2651211,-0.15064442,-0.77667797,6.01875,-19.66875,-28.29375
1763129309713,-1.5517455,5.316852,10.038489,-0.7177661,-0.4413498,-0.5235111,0.2651211,-0.15064442,-0.77667797,6.01875,-19.66875,-28.29375
1763129309717,-1.5517455,5.316852,10.038489,-0.7177661,-0.4413498,-0.5235111,0.2578526,-0.14626682,-0.782085,6.01875,-19.66875,-28.29375
1763129309718,-1.5517455,5.316852,10.038489,-0.7177661,-0.4413498,-0.5235111,0.2578526,-0.14626682,-0.782085,4.70625,-20.2875,-27.45
1763129309732,-1.5517455,5.316852,10.038489,-0.33337945,-0.32772896,-0.46883872,0.2578526,-0.14626682,-0.782085,4.70625,-20.2875,-27.45
1763129309732,-2.5782664,5.5543394,9.833304,-0.33337945,-0.32772896,-0.46883872,0.2578526,-0.14626682,-0.782085,4.70625,-20.2875,-27.45
1763129309737,-2.5782664,5.5543394,9.833304,-0.33337945,-0.32772896,-0.46883872,0.2534923,-0.14442702,-0.78665555,4.70625,-20.2875,-27.45
1763129309738,-2.5782664,5.5543394,9.833304,-0.33337945,-0.32772896,-0.46883872,0.2534923,-0.14442702,-0.78665555,6.2812505,-18.806252,-29.19375
1763129309753,-2.5782664,5.5543394,9.833304,-0.16752967,-0.19211698,-0.40286532,0.2534923,-0.14442702,-0.78665555,6.2812505,-18.806252,-29.19375
1763129309754,-2.7296124,4.9992046,9.104092,-0.16752967,-0.19211698,-0.40286532,0.2534923,-0.14442702,-0.78665555,6.2812505,-18.806252,-29.19375
1763129309758,-2.7296124,4.9992046,9.104092,-0.16752967,-0.19211698,-0.40286532,0.25145036,-0.14308149,-0.78979385,6.2812505,-18.806252,-29.19375
1763129309759,-2.7296124,4.9992046,9.104092,-0.16752967,-0.19211698,-0.40286532,0.25145036,-0.14308149,-0.78979385,6.39375,-17.831251,-30.337502
