timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,magX,magY,magZ
1763129392398,-2.9012976,6.701698,2.861816,0.011911863,-0.9114103,-0.33597562,0.40946993,0.03228539,-0.14119965,-0.09375,-4.2000003,-34.6875
1763129392399,-2.9012976,6.701698,2.861816,0.011911863,-0.9114103,-0.33597562,0.4086933,0.025342481,-0.14862385,-0.09375,-4.2000003,-34.6875
1763129392399,-1.3657036,6.5850477,4.6468616,0.011911863,-0.9114103,-0.33597562,0.4086933,0.025342481,-0.14862385,-0.09375,-4.2000003,-34.6875
1763129392400,-1.3657036,6.5850477,4.6468616,0.011911863,-0.9114103,-0.33597562,0.4086933,0.025342481,-0.14862385,-1.95,-3.9750001,-32.8875
1763129392418,-1.3657036,6.5850477,4.6468616,0.011911863,-0.9114103,-0.33597562,0.4086933,0.025342481,-0.14862385,0.75,-3.05625,-36.2625
1763129392419,-1.3657036,6.5850477,4.6468616,-0.6551525,-0.4659371,-0.19853105,0.4086933,0.025342481,-0.14862385,0.75,-3.05625,-36.2625
1763129392419,-1.2861422,6.510272,5.5896335,-0.6551525,-0.4659371,-0.19853105,0.4086933,0.025342481,-0.14862385,0.75,-3.05625,-36.2625
1763129392420,-1.2861422,6.510272,5.5896335,-0.6551525,-0.4659371,-0.19853105,0.40196973,0.022860633,-0.15216947,0.75,-3.05625,-36.2625
1763129392437,-1.2861422,6.510272,5.5896335,-0.6551525,-0.4659371,-0.19853105,0.40196973,0.022860633,-0.15216947,-4.0125003,-6.8812504,-34.537502
1763129392439,-1.2861422,6.510272,5.5896335,-0.98563033,-0.20479241,-0.1301142,0.40196973,0.022860633,-0.15216947,-4.0125003,-6.8812504,-34.537502
1763129392439,-1.2861422,6.510272,5.5896335,-0.98563033,-0.20479241,-0.1301142,0.39238036,0.023051094,-0.15388678,-4.0125003,-6.8812504,-34.537502
1763129392440,-2.2558336,6.2518473,6.3493547,-0.98563033,-0.20479241,-0.1301142,0.39238036,0.023051094,-0.15388678,-4.0125003,-6.8812504,-34.537502
1763129392458,-2.2558336,6.2518473,6.3493547,-0.98563033,-0.20479241,-0.1301142,0.39238036,0.023051094,-0.15388678,-6.0375004,-5.5687504,-32.756252
